fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-03-31,-60000000,84000000,None,-10000000,639000000,141000000,256000000,344000000,229000000,409000000,-239000000,-35000000,4000000,149000000,149000000,None,153000000,153000000,None,None,274000000,None,-149000000,None,None,None,400000000
2023-12-31,898000000,819000000,None,58000000,-471000000,152000000,168000000,-368000000,-133000000,103000000,-157000000,-545000000,16000000,86000000,86000000,None,153000000,153000000,None,None,0,None,0,0,None,None,90000000
2023-09-30,892000000,12000000,None,-84000000,-407000000,142000000,139000000,-170000000,-246000000,436000000,-109000000,-739000000,196000000,0,0,None,153000000,153000000,None,None,0,None,0,0,None,None,426000000
2023-06-30,536000000,7000000,None,-19000000,92000000,133000000,122000000,251000000,-132000000,497000000,-226000000,-543000000,-940000000,0,0,None,146000000,146000000,None,None,0,None,0,0,-233000000,None,490000000
2023-03-31,85000000,98000000,None,175000000,673000000,133000000,120000000,277000000,308000000,273000000,-64000000,277000000,728000000,0,0,None,146000000,146000000,None,None,0,None,0,0,298000000,None,264000000
2022-12-31,587000000,754000000,None,-348000000,-479000000,135000000,150000000,-376000000,-231000000,246000000,-215000000,-353000000,100000000,0,0,None,146000000,146000000,None,None,0,None,1000000,0,19000000,None,238000000
2022-09-30,512000000,18000000,None,-77000000,-142000000,135000000,104000000,-148000000,21000000,339000000,-96000000,-269000000,-99000000,15000000,15000000,None,145000000,145000000,None,None,0,None,-15000000,0,382000000,None,329000000
2022-06-30,168000000,24000000,None,91000000,369000000,141000000,70000000,262000000,112000000,446000000,33000000,-230000000,-1026000000,135000000,135000000,None,140000000,140000000,None,None,0,None,-130000000,5000000,528000000,None,441000000
2022-03-31,-304000000,107000000,None,326000000,943000000,145000000,194000000,530000000,325000000,23000000,-183000000,443000000,586000000,40000000,40000000,None,139000000,139000000,None,None,0,None,-34000000,6000000,-44000000,None,18000000
2021-12-31,456000000,792000000,None,-261000000,-267000000,151000000,151000000,-313000000,-55000000,297000000,-128000000,-513000000,-185000000,0,0,None,140000000,140000000,None,None,1392000000,None,-162000000,1000000,-185000000,None,286000000
2021-09-30,525000000,17000000,None,31000000,-66000000,146000000,78000000,-104000000,54000000,345000000,-34000000,-448000000,-186000000,0,0,None,140000000,140000000,None,None,0,None,2000000,2000000,458000000,None,344000000
2021-06-30,604000000,8000000,None,282000000,172000000,137000000,62000000,126000000,91000000,433000000,-1818000000,585000000,261000000,0,0,None,128000000,128000000,None,None,0,None,24000000,24000000,524000000,None,431000000
2021-03-31,-23000000,88000000,None,110000000,580000000,129000000,80000000,354000000,189000000,385000000,-424000000,469000000,300000000,0,0,None,128000000,128000000,None,None,0,None,20000000,20000000,22000000,None,378000000
2020-12-31,966000000,658000000,None,150000000,-323000000,127000000,134000000,-250000000,-75000000,278000000,-1256000000,46000000,251000000,0,0,None,128000000,128000000,None,None,0,None,85000000,31000000,1617000000,None,272000000
2020-09-30,842000000,15000000,None,324000000,82000000,132000000,78000000,155000000,-65000000,448000000,-80000000,-1032000000,-37000000,0,0,None,127000000,127000000,None,None,0,None,17000000,17000000,560000000,None,442000000
2020-06-30,481000000,12000000,None,-260000000,-373000000,123000000,55000000,-150000000,-177000000,100000000,-52000000,-85000000,256000000,0,0,None,121000000,121000000,None,None,0,None,1000000,1000000,362000000,None,102000000
2020-03-31,-159000000,145000000,None,-87000000,292000000,130000000,37000000,58000000,206000000,248000000,-59000000,1012000000,1171000000,0,0,None,120000000,120000000,None,None,0,None,5000000,5000000,794000000,None,243000000
2019-12-31,809000000,430000000,None,-98000000,-560000000,134000000,189000000,-309000000,-194000000,300000000,-261000000,-799000000,106000000,150000000,150000000,None,121000000,121000000,None,None,0,None,-60000000,29000000,-250000000,-3000000,292000000
2019-09-30,789000000,21000000,None,-25000000,-291000000,133000000,91000000,-243000000,-48000000,373000000,-291000000,9000000,-470000000,0,0,None,120000000,120000000,None,None,0,None,10000000,10000000,480000000,None,367000000
2019-06-30,548000000,20000000,None,84000000,91000000,126000000,86000000,132000000,-55000000,279000000,-371000000,0,170000000,0,0,None,114000000,114000000,None,None,0,None,15000000,15000000,179000000,2000000,272000000
2019-03-31,-66000000,74000000,None,-24000000,507000000,118000000,47000000,299000000,152000000,317000000,-86000000,32000000,300000000,175000000,175000000,None,113000000,113000000,None,None,0,None,-168000000,7000000,-118000000,2000000,312000000
2018-12-31,800000000,467000000,None,-178000000,-324000000,127000000,185000000,-350000000,-176000000,261000000,-453000000,-535000000,-2000000,408000000,408000000,None,115000000,115000000,None,None,0,None,-392000000,1000000,-201000000,-13000000,258000000
2018-09-30,536000000,14000000,None,-96000000,-192000000,122000000,108000000,-207000000,15000000,382000000,-94000000,-365000000,0,250000000,250000000,None,116000000,116000000,None,None,0,None,-246000000,4000000,83000000,6000000,378000000
2018-06-30,359000000,14000000,None,124000000,280000000,125000000,43000000,253000000,68000000,375000000,-39000000,-600000000,-1000000,463000000,463000000,None,110000000,110000000,None,None,0,None,-462000000,1000000,-326000000,-46000000,371000000
2018-03-31,-228000000,88000000,None,74000000,621000000,123000000,75000000,373000000,202000000,340000000,-178000000,295000000,0,600000000,600000000,None,112000000,112000000,None,None,0,None,-591000000,9000000,-90000000,21000000,334000000
2017-12-31,536000000,758000000,-4000000,-35000000,-228000000,120000000,153000000,-274000000,-84000000,156000000,-283000000,-1103000000,968000000,400000000,400000000,None,113000000,113000000,None,None,0,None,-341000000,7000000,-851000000,-1000000,151000000
2017-09-30,586000000,14000000,4000000,82000000,-53000000,117000000,72000000,-56000000,15000000,616000000,477000000,-361000000,-20000000,250000000,250000000,None,116000000,116000000,None,None,0,None,-225000000,25000000,718000000,16000000,610000000
2017-06-30,437000000,10000000,2000000,78000000,141000000,113000000,71000000,110000000,28000000,501000000,-123000000,-118000000,-29000000,0,0,None,102000000,102000000,None,None,0,None,11000000,11000000,220000000,24000000,496000000
2017-03-31,9000000,79000000,6000000,63000000,502000000,114000000,64000000,296000000,157000000,342000000,-138000000,-372000000,-32000000,163000000,163000000,None,103000000,103000000,None,None,0,None,-154000000,9000000,-471000000,30000000,337000000
2016-12-31,575000000,563000000,8000000,0,-238000000,109000000,144000000,-188000000,-99000000,344000000,881000000,-518000000,987000000,650000000,650000000,None,105000000,105000000,None,None,0,None,-616000000,2000000,891000000,-47000000,344000000
2016-09-30,777000000,12000000,3000000,-4000000,-206000000,119000000,90000000,-106000000,-61000000,-179000000,-392000000,-1057000000,-691000000,250000000,250000000,None,106000000,106000000,None,None,0,None,-244000000,6000000,-676000000,-4000000,-184000000
2016-06-30,-80000000,9000000,6000000,49000000,26000000,121000000,91000000,89000000,-16000000,376000000,10000000,794000000,902000000,0,0,None,107000000,107000000,None,None,0,None,9000000,9000000,696000000,-28000000,370000000
2016-03-31,79000000,71000000,4000000,90000000,472000000,121000000,77000000,273000000,120000000,354000000,-63000000,-429000000,86000000,150000000,150000000,None,96000000,96000000,None,None,0,None,-136000000,14000000,-402000000,11000000,347000000
2015-12-31,909000000,462000000,81000000,-74000000,-392000000,125000000,210000000,-288000000,-126000000,318000000,-44000000,-544000000,1072000000,250000000,250000000,None,96000000,96000000,None,None,0,None,-195000000,2000000,296000000,-25000000,314000000
2015-09-30,800000000,18000000,1000000,129000000,-160000000,125000000,104000000,-178000000,9000000,439000000,-243000000,-226000000,40000000,150000000,150000000,None,98000000,98000000,None,None,0,None,-149000000,1000000,308000000,-23000000,433000000
2015-06-30,615000000,20000000,9000000,79000000,255000000,125000000,90000000,264000000,-56000000,342000000,-143000000,-500000000,-1155000000,151000000,151000000,None,98000000,98000000,None,None,0,None,-145000000,6000000,-28000000,0,337000000
2015-03-31,-429000000,342000000,5000000,-59000000,500000000,120000000,72000000,327000000,136000000,327000000,35000000,458000000,723000000,200000000,200000000,None,91000000,91000000,None,None,0,None,-156000000,44000000,49000000,-15000000,322000000
2014-12-31,491000000,804000000,12000000,-209000000,-389000000,123000000,229000000,-300000000,-106000000,89000000,-2077000000,-153000000,1035000000,300000000,300000000,None,92000000,92000000,None,None,0,None,-238000000,5000000,-1782000000,-43000000,83000000
2014-09-30,636000000,31000000,5000000,69000000,-119000000,119000000,126000000,-115000000,2000000,377000000,198000000,-270000000,2000000,150000000,150000000,None,92000000,92000000,None,None,0,None,-139000000,11000000,482000000,-82000000,371000000
2014-06-30,238000000,48000000,7000000,37000000,198000000,115000000,129000000,168000000,25000000,392000000,-573000000,-243000000,-6000000,100000000,100000000,None,92000000,92000000,None,None,0,None,-94000000,6000000,-573000000,5000000,386000000
2014-03-31,163000000,117000000,6000000,206000000,565000000,119000000,103000000,363000000,178000000,1301000000,1595000000,-303000000,-10000000,200000000,200000000,None,85000000,85000000,None,None,0,None,-165000000,35000000,1443000000,-12000000,1262000000
2013-12-31,509000000,316000000,17000000,-210000000,-423000000,125000000,256000000,-281000000,-50000000,282000000,-165000000,-792000000,6000000,680000000,680000000,None,86000000,86000000,None,None,0,None,-603000000,9000000,-446000000,2000000,254000000
2013-09-30,788000000,30000000,9000000,34000000,-171000000,119000000,104000000,-156000000,-18000000,255000000,-226000000,-263000000,5000000,180000000,180000000,None,88000000,88000000,None,None,0,None,-166000000,14000000,319000000,20000000,226000000
2013-06-30,583000000,32000000,6000000,68000000,37000000,124000000,90000000,189000000,-85000000,371000000,-1220000000,-124000000,-24000000,0,0,None,87000000,87000000,None,None,0,None,13000000,13000000,-778000000,-17000000,341000000
2013-03-31,-89000000,184000000,5000000,-5000000,479000000,107000000,65000000,273000000,109000000,2445000000,1614000000,-800000000,6000000,140000000,140000000,None,84000000,84000000,None,None,0,None,-108000000,32000000,715000000,-10000000,2410000000
2012-12-31,748000000,245000000,19000000,-125000000,-506000000,117000000,185000000,-396000000,-136000000,253000000,-735000000,-110000000,7000000,0,0,None,91000000,91000000,None,None,0,None,134000000,12000000,-86000000,11000000,227000000
2012-09-30,605000000,20000000,7000000,-21000000,-161000000,116000000,80000000,-164000000,-41000000,364000000,-446000000,202000000,53000000,0,0,None,90000000,38000000,None,None,0,None,39000000,39000000,375000000,14000000,339000000
2012-06-30,436000000,12000000,6000000,129000000,134000000,114000000,78000000,103000000,-5000000,364000000,-249000000,-131000000,-11000000,0,0,None,90000000,127000000,None,None,0,None,21000000,21000000,39000000,-17000000,362000000
2012-03-31,-2000000,149000000,5000000,-38000000,444000000,118000000,68000000,286000000,129000000,51000000,-181000000,-312000000,-50000000,92000000,92000000,None,87000000,102000000,None,None,0,None,-42000000,50000000,-479000000,16000000,13000000
2011-12-31,659000000,-74000000,10000000,-113000000,-391000000,115000000,155000000,-283000000,-116000000,239000000,-141000000,-362000000,10000000,225000000,225000000,None,87000000,51000000,None,None,0,None,-133000000,11000000,156000000,0,216000000
2011-09-30,525000000,9000000,2000000,-29000000,-95000000,116000000,101000000,-118000000,14000000,342000000,169000000,-309000000,-9000000,250000000,250000000,None,90000000,94000000,None,None,0,None,-241000000,9000000,319000000,-66000000,311000000
2011-06-30,408000000,16000000,4000000,132000000,236000000,119000000,80000000,196000000,34000000,372000000,370000000,-608000000,16000000,100000000,100000000,None,89000000,121000000,None,None,1000000,None,-76000000,24000000,186000000,16000000,340000000
2011-03-31,-156000000,234000000,4000000,20000000,455000000,117000000,54000000,312000000,142000000,259000000,-45000000,-353000000,-4000000,283000000,283000000,None,89000000,89000000,None,None,2000000,None,-246000000,37000000,-545000000,9000000,228000000
2010-12-31,612000000,144000000,None,96000000,-379000000,118000000,149000000,-207000000,-67000000,228000000,-797000000,590000000,941000000,311000000,311000000,None,90000000,146000000,None,None,0,None,-234000000,77000000,411000000,6000000,205000000
2010-09-30,331000000,11000000,None,57000000,7000000,116000000,65000000,-11000000,3000000,292000000,-5000000,-218000000,113000000,170000000,170000000,None,90000000,93000000,None,None,0,None,-143000000,27000000,146000000,38000000,262000000
2010-06-30,421000000,5000000,None,146000000,175000000,115000000,48000000,176000000,15000000,301000000,-54000000,-251000000,-156000000,0,0,None,90000000,118000000,None,None,0,None,-83000000,22000000,95000000,-21000000,272000000
2010-03-31,-54000000,165000000,None,33000000,306000000,89000000,45000000,230000000,83000000,59000000,-93000000,-225000000,-155000000,0,0,None,90000000,90000000,None,None,2000000,None,20000000,20000000,-368000000,4000000,30000000
2009-12-31,585000000,-57000000,None,None,None,90000000,87000000,None,232000000,163000000,-65000000,-362000000,-19000000,59000000,59000000,None,91000000,139000000,None,None,None,None,-59000000,12000000,159000000,1000000,142000000
2009-09-30,654000000,7000000,None,None,None,88000000,49000000,None,None,185000000,-6000000,-824000000,-407000000,None,None,None,88000000,107000000,None,None,None,None,None,0,-154000000,22000000,159000000
2009-06-30,397000000,7000000,None,None,None,119000000,52000000,None,None,169000000,-44000000,143000000,None,None,None,None,87000000,97000000,None,None,None,None,None,0,521000000,25000000,146000000
2009-03-31,-291000000,None,None,None,None,88000000,51000000,None,None,-91000000,-88000000,-80000000,None,None,None,None,87000000,87000000,None,None,None,None,None,None,-490000000,-31000000,-111000000
2008-12-31,569000000,None,None,None,None,88000000,148000000,None,79000000,82000000,66000000,-121000000,None,None,None,None,87000000,87000000,None,None,None,None,-1000000,None,505000000,-9000000,71000000
2008-09-30,466000000,None,None,None,None,105000000,89000000,None,None,138000000,63000000,-258000000,None,None,None,None,85000000,85000000,None,None,None,None,None,5000000,250000000,-21000000,117000000
2008-06-30,310000000,None,None,None,None,128000000,85000000,None,None,278000000,None,-262000000,None,None,None,None,86000000,86000000,None,None,None,None,1000000,None,None,None,250000000
